,crop_time,image_time,human_len,ai_len,prob,similarity,correct
0,1.469,9.67617521170131,9,9,0.9999065399169922,1.0,1
1,2.086,13.74030053887606,11,10,0.9843493700027466,0.9523809523809524,1
2,1.248,8.220467436489606,6,6,0.5296310782432556,0.0,1
3,1.692,11.145056812933024,11,9,0.37763866782188416,0.5,1
4,2.854,14.746805014245018,7,7,0.9999893307685852,1.0,0
5,2.597,13.418869173789174,11,10,0.9042041897773744,0.9523809523809524,0
6,1.645,8.49982279202279,18,7,0.6322821378707886,0.56,0
7,1.679,8.67550301994302,18,15,0.7948593497276306,0.6666666666666666,0
8,0.782,4.792,1,4,0.4540183246135712,0.0,1
9,0.825,3.4759365994236315,4,6,0.9289084672927856,0.0,1
10,0.91,3.834063400576369,4,8,0.9287351369857788,0.16666666666666666,1
11,0.984,4.232,1,3,0.33150506019592285,0.0,1
12,1.781,9.898821419070421,11,8,0.5999652147293091,0.42105263157894735,1
13,2.51,13.950613004978528,6,6,0.9566185474395752,1.0,0
14,1.902,10.571341010147075,4,4,0.9496330618858336,1.0,0
15,1.875,10.421274655113443,5,7,0.29422837495803833,0.5,0
16,4.42,24.56641812032075,14,13,0.8473843336105347,0.07407407407407407,1
17,1.677,9.320788051533462,12,12,0.9225517511367798,0.08333333333333333,0
18,1.813,10.076677839851024,7,7,0.9993196725845336,1.0,0
19,1.813,10.076677839851024,11,10,0.9933204054832458,0.9523809523809524,0
20,2.286,12.70561805951431,7,7,0.9952699542045592,1.0,0
21,2.326,12.927938585490061,7,7,0.9763585329055786,1.0,0
22,1.718,9.548666590658609,19,9,0.980717957019806,0.0,1
23,2.192,12.183164823471289,9,8,0.9481220841407776,0.9411764705882352,0
24,0.816,3.7431806694746177,1,3,0.8424386978149414,0.0,1
25,0.71,3.2569341609399247,1,3,0.4771961569786072,0.0,1
26,0.685,3.1422533806251383,1,3,0.4378198385238648,0.0,1
27,0.664,3.045921525160718,1,13,0.36044302582740784,0.0,1
28,0.701,3.215649080026601,1,3,0.3694104552268982,0.0,1
29,0.935,4.289061183773,1,15,0.3842795789241791,0.0,1
30,1.273,5.712160150078988,4,7,0.9964954257011414,0.0,1
31,0.762,3.419219194312797,4,9,0.9660475254058838,0.0,1
32,2.161,9.696762045813585,4,6,0.998830795288086,0.2,1
33,0.868,3.894858609794629,4,6,0.9989368319511414,0.2,1
34,1.24,4.162102100140445,4,4,0.9984938502311708,0.25,0
35,1.263,4.2393023810301464,7,7,0.9684980511665344,0.14285714285714285,0
36,1.454,4.880400365809845,6,6,0.6402443051338196,0.0,0
37,1.287,4.319859195871574,7,7,0.8868794441223145,1.0,0
