,image_time,crop_time,human_len,ai_len,prob,similarity
2789,16.36310407474695,2.88,10,10,0.9999602437019348,1.0
3772,12.082604706230576,3.46,4,4,0.9817577600479126,1.0
4493,3.0224800399201595,0.92,15,11,0.8426849842071533,0.6923076923076923
4370,8.772410591471802,1.655,9,9,0.9900978803634644,1.0
2167,11.330347402280923,2.542,7,7,0.9996805787086488,1.0
374,1.9500410447761194,0.453,1,3,0.359121173620224,0.0
1745,8.112525027808676,1.464,9,9,0.9999441504478456,1.0
649,10.489152943963983,2.124,9,9,0.9683498740196228,1.0
2745,4.920883925009972,0.839,7,1,0.06297031790018083,0.0
3470,3.7525561246890087,1.152,5,5,0.9990173578262328,1.0
2086,20.33451392081737,1.907,17,11,0.679107129573822,0.5
3977,7.499679999999999,1.254,9,9,0.9999951124191284,1.0
4295,7.175083612040135,1.5,3,3,0.8766652941703796,1.0
1306,11.87202389380531,1.662,4,4,0.9945684671401978,1.0
2739,4.178901482127289,1.042,7,9,0.9966047406196594,0.0
3708,14.29493208506954,2.551,5,5,0.9750515222549438,0.8
1265,1.753733766233766,0.351,1,4,0.9465152025222778,0.0
1152,1.2842282282282285,0.384,1,3,0.4772853255271912,0.0
550,6.329249374258991,1.439,3,4,0.2855190336704254,0.8571428571428571
2523,8.090645116343875,1.186,9,8,0.9821810126304626,0.9411764705882352
3497,9.393273179936056,1.873,20,19,0.9059981107711792,0.05128205128205128
4074,7.0952403130368396,1.244,6,6,0.8890659213066101,0.6666666666666666
2170,12.226306820980057,1.327,7,7,0.995411217212677,1.0
803,21.70284739780299,1.813,9,8,0.9952446222305298,0.9411764705882352
4078,1.1137083906464922,0.429,1,5,0.9978737831115724,0.0
1413,7.344365448007193,1.71,5,5,0.9649777412414552,1.0
2564,15.456304145191357,2.935,17,17,0.9303152561187744,0.9411764705882352
308,16.086122176591378,2.345,11,11,0.9619208574295044,1.0
708,7.8631414772057955,1.351,10,10,0.9662194252014159,1.0
1787,26.934511908956377,5.493,4,4,0.9328163266181946,1.0
3333,21.501034517766495,5.634,7,7,0.9369330406188964,0.0
3504,10.03984375,1.991,7,7,0.925467014312744,1.0
4036,8.383498525073746,1.778,10,10,0.9384182095527648,0.9
2285,9.108947368421052,1.404,6,6,0.8231406807899475,1.0
3828,12.142029348709988,2.446,7,7,0.9989476799964904,1.0
2433,14.043533172386397,2.468,13,12,0.9394449591636658,0.96
2185,13.36536608048698,2.55,9,8,0.9441439509391784,0.0
280,5.768013400209612,1.301,5,5,0.9986923336982728,1.0
623,21.56736182697645,4.875,10,8,0.7626072764396667,0.7777777777777778
125,6.312557182923029,1.822,1,3,0.1835734844207764,0.0
2241,23.562031373434152,1.616,19,17,0.9472562074661256,0.8333333333333334
732,19.674188834896597,2.847,12,12,0.9575732946395874,1.0
4409,5.942158310002546,1.16,20,18,0.8811063170433044,0.9473684210526316
1966,15.656834094045218,3.087,2,2,0.999627411365509,1.0
3540,5.877027432861681,1.201,5,5,0.994372010231018,1.0
3344,1.8182086855144275,0.518,1,3,0.5603373646736145,0.0
2647,17.422703664081304,2.339,5,5,0.999971091747284,0.8
2527,15.92690512249443,2.104,11,11,0.9622531533241272,1.0
1581,17.464292304399017,3.881,12,11,0.8188307881355286,0.9565217391304348
3101,5.145072344393504,1.568,7,7,0.999948263168335,1.0
3076,2.0727145631067962,0.474,1,6,0.4453804790973663,0.0
3028,1.870765273311897,0.434,1,5,0.27651074528694153,0.0
3279,1.8435691523263227,0.44,1,3,0.4619649648666382,0.0
122,1.2017606586298148,0.343,1,6,0.36920130252838135,0.0
912,5.139405894277249,1.099,9,9,0.9999907612800598,1.0
3968,4.649808751828376,1.377,13,13,0.945901334285736,1.0
711,10.191236659206032,1.751,18,17,0.9658990502357484,0.9714285714285714
38,15.487047653264526,4.614,10,8,0.9107434749603271,0.1111111111111111
3820,11.730014452576327,2.363,3,3,0.8946943283081055,0.3333333333333333
4001,10.373729650758312,2.461,13,12,0.9947628974914552,0.96
3150,1.7904370179948588,0.48,1,3,0.4620973467826843,0.0
3779,7.356105722098962,1.577,9,11,0.8905709385871887,0.9
4018,7.078122666666666,1.799,11,12,0.7864698767662048,0.7826086956521741
1839,30.377266951055233,3.923,7,6,0.8317199945449829,0.9230769230769232
2031,13.577121947417643,3.602,12,11,0.8902177214622498,0.8695652173913043
1127,9.400312948411344,2.096,9,11,0.8058642148971558,0.4
4154,5.812647694793091,2.792,4,6,0.9913054704666138,0.2
1729,11.027756907922198,2.155,13,12,0.8795790672302246,0.8
1043,5.997469684721099,1.665,15,15,0.8249908685684204,0.06666666666666668
3972,5.466273939393939,0.914,4,4,0.999408483505249,1.0
277,8.654236861805659,1.952,18,15,0.9961845278739928,0.7878787878787878
501,3.887814702114029,0.755,1,1,0.21831770241260529,0.0
3253,7.743842827004219,2.033,7,6,0.9270438551902772,0.9230769230769232
2447,19.644110964332892,4.694,7,7,0.9999340176582336,1.0
2609,7.629306240928882,1.232,7,7,0.9997575283050536,1.0
2053,1.912689378757515,0.48,1,3,0.28549352288246155,0.0
113,19.40761656920594,3.959,8,8,0.9425780773162842,1.0
2501,37.875489432703006,3.56,11,11,0.936268985271454,1.0
3197,18.415112665112666,3.25,6,6,0.740066409111023,1.0
1022,15.65075030826141,3.186,2,2,0.7324972152709961,1.0
136,9.096002256114069,2.501,7,7,0.97446471452713,1.0
4106,10.634708403010032,1.255,5,5,0.9999162554740906,1.0
219,6.721236248012718,1.401,12,12,0.424431711435318,0.25
1558,7.639024282810029,1.791,4,4,0.8812472820281982,0.75
1108,19.00549149585696,2.481,7,7,0.999893307685852,1.0
1328,4.431480392156863,1.519,15,15,0.963675856590271,1.0
964,10.49605423094904,2.54,3,3,0.8562675714492798,1.0
3865,9.258260367555083,1.29,14,12,0.9087037444114684,0.9230769230769232
336,17.858573395964555,2.617,10,9,0.966948926448822,0.9473684210526316
1587,5.522229227651429,0.84,5,5,0.9999368786811828,1.0
970,1.5588150887573966,0.399,1,3,0.42211875319480896,0.0
731,19.515247372584472,2.824,8,8,0.942848026752472,1.0
3775,8.161770514523301,2.81,7,7,0.9998135566711426,1.0
3611,6.698078995882752,1.861,8,8,0.9977448582649232,1.0
1209,10.33858618359497,2.613,10,9,0.9529433846473694,0.9473684210526316
3843,1.6798494623655915,0.392,1,4,0.6950492858886719,0.0
2350,7.8009523486518555,2.264,7,7,0.9999657869338988,1.0
3619,8.95025072863332,1.757,6,6,0.9917925596237184,1.0
2846,6.567497000575232,1.311,4,4,0.996160924434662,1.0
1696,13.025686892594585,2.531,19,19,0.9376028180122375,1.0
3472,6.485537538416507,1.991,8,8,0.9985042810440063,1.0
3761,5.312380589914367,0.764,8,8,0.9371047616004944,0.0
2243,17.846489109581306,1.224,7,7,0.9997528791427612,1.0
561,6.1284451612903235,0.787,5,4,0.5680249929428101,0.0
1824,39.49239928662212,4.957,7,7,0.999814748764038,1.0
4394,21.321626553132333,3.614,7,7,0.9992778301239014,1.0
3006,1.7857061762034516,0.415,1,6,0.3041501343250275,0.0
881,19.6616455652966,3.307,13,5,0.4822261333465576,0.1111111111111111
3360,4.947982029416814,1.022,8,8,0.9077247381210328,0.75
1087,6.896397358260517,1.153,2,3,0.362517923116684,0.8
1253,9.812311893372963,1.938,8,8,0.9987170696258544,1.0
1779,8.697724701335208,1.838,6,6,0.9977868795394896,0.16666666666666666
3738,3.178196198140697,1.526,4,4,0.9754561781883241,1.0
4380,7.654095893356268,1.04,4,4,0.8528792858123779,1.0
1764,10.493088566284044,2.245,4,4,0.9998162388801576,0.25
3529,8.47870576201841,1.626,2,2,0.33811843395233154,0.0
668,11.896689321577272,2.525,7,6,0.9235445857048036,0.0
2061,21.895875493061375,3.314,7,7,0.9992638230323792,1.0
3031,1.7112760679834635,0.397,1,1,0.947498381137848,0.0
1478,13.27654300754867,1.739,14,13,0.962684452533722,0.0
1036,22.679150632339656,3.674,8,8,0.999737024307251,1.0
2894,20.523247600767757,2.529,15,14,0.8823657035827637,0.9655172413793104
3616,12.03566693295643,3.344,17,15,0.9920664429664612,0.875
509,1.2189547955974842,0.391,1,1,0.2779911756515503,0.0
3869,4.973915386039622,0.953,8,8,0.3704027533531189,0.5
3651,12.372823082239115,1.125,7,7,0.9997199177742004,1.0
3992,19.19236710963455,3.61,15,15,0.9327285289764404,0.9333333333333332
3603,13.294505866512791,2.416,11,10,0.9765797853469848,0.9523809523809524
3293,7.35705616142205,1.671,4,4,0.9997258186340332,1.0
1534,18.29245277802736,4.535,16,8,0.36932772397995,0.4166666666666667
3099,10.880050103765194,1.633,9,7,0.7903000712394714,0.5
2886,3.372334519572953,0.358,1,12,0.7630175948143005,0.0
159,16.864008200222088,2.816,12,11,0.5527740120887756,0.7826086956521741
4340,6.7444336448598134,0.976,8,8,0.9994759559631348,1.0
2869,9.899925920577617,2.034,13,12,0.9912914037704468,0.96
3176,1.2022114726027395,0.374,1,13,0.3052254021167755,0.0
3975,5.801187878787879,0.97,7,7,0.9998634457588196,1.0
1914,19.86389768181599,4.007,13,13,0.9361376762390136,0.9230769230769232
3435,12.15483403597527,1.499,8,8,0.9999756217002868,1.0
4200,15.825526380774562,3.347,8,7,0.9645746350288392,0.9333333333333332
