,image_time,crop_time,human_len,ai_len,prob,similarity
0,9.67617521170131,1.469,9,9,0.9999065399169922,1.0
1,13.74030053887606,2.086,11,10,0.9843493700027466,0.9523809523809524
2,8.220467436489606,1.248,6,6,0.5296310782432556,0.0
3,11.145056812933024,1.692,11,9,0.37763866782188416,0.5
4,14.746805014245018,2.854,7,7,0.9999893307685852,1.0
5,13.418869173789174,2.597,11,10,0.9042041897773744,0.9523809523809524
6,8.49982279202279,1.645,18,7,0.6322821378707886,0.56
7,8.67550301994302,1.679,18,15,0.7948593497276306,0.6666666666666666
8,4.792,0.782,1,4,0.4540183246135712,0.0
9,3.4759365994236315,0.825,4,6,0.9289084672927856,0.0
10,3.834063400576369,0.91,4,8,0.9287351369857788,0.16666666666666666
11,4.232,0.984,1,3,0.33150506019592285,0.0
12,9.898821419070421,1.781,11,8,0.5999652147293091,0.42105263157894735
13,13.950613004978528,2.51,6,6,0.9566185474395752,1.0
14,10.571341010147075,1.902,4,4,0.9496330618858336,1.0
15,10.421274655113443,1.875,5,7,0.29422837495803833,0.5
16,24.56641812032075,4.42,14,13,0.8473843336105347,0.07407407407407407
17,9.320788051533462,1.677,12,12,0.9225517511367798,0.08333333333333333
18,10.076677839851024,1.813,7,7,0.9993196725845336,1.0
19,10.076677839851024,1.813,11,10,0.9933204054832458,0.9523809523809524
20,12.70561805951431,2.286,7,7,0.9952699542045592,1.0
21,12.927938585490061,2.326,7,7,0.9763585329055786,1.0
22,9.548666590658609,1.718,19,9,0.980717957019806,0.0
23,12.183164823471289,2.192,9,8,0.9481220841407776,0.9411764705882352
24,3.7431806694746177,0.816,1,3,0.8424386978149414,0.0
25,3.2569341609399247,0.71,1,3,0.4771961569786072,0.0
26,3.1422533806251383,0.685,1,3,0.4378198385238648,0.0
27,3.045921525160718,0.664,1,13,0.36044302582740784,0.0
28,3.215649080026601,0.701,1,3,0.3694104552268982,0.0
29,4.289061183773,0.935,1,15,0.3842795789241791,0.0
30,5.712160150078988,1.273,4,7,0.9964954257011414,0.0
31,3.419219194312797,0.762,4,9,0.9660475254058838,0.0
32,9.696762045813585,2.161,4,6,0.998830795288086,0.2
33,3.894858609794629,0.868,4,6,0.9989368319511414,0.2
34,4.162102100140445,1.24,4,4,0.9984938502311708,0.25
35,4.2393023810301464,1.263,7,7,0.9684980511665344,0.14285714285714285
36,4.880400365809845,1.454,6,6,0.6402443051338196,0.0
37,4.319859195871574,1.287,7,7,0.8868794441223145,1.0
38,15.487047653264526,4.614,10,8,0.9107434749603271,0.1111111111111111
39,4.343354933533657,1.294,18,16,0.8292950987815857,0.8235294117647058
41,15.158107325995365,4.516,6,6,0.9977983236312866,1.0
42,6.880894601038638,2.05,4,4,0.9786751866340636,1.0
43,11.713644076390063,2.179,8,8,0.998361110687256,1.0
44,7.649617035659963,1.423,9,3,0.1961917281150818,0.16666666666666666
45,3.46732465776576,0.645,10,13,0.5713939666748047,0.17391304347826084
46,8.977414230184214,1.67,10,9,0.954367220401764,0.7368421052631579
47,5.336,1.175,1,6,0.6931310296058655,0.0
48,5.583,0.751,1,3,0.5226141214370728,0.0
49,16.636211172834674,2.431,13,12,0.9997388124465942,0.96
50,38.95241217432127,5.692,13,12,0.9565467834472656,0.08
51,16.75254831390345,2.448,11,12,0.8921283483505249,0.7826086956521741
53,15.630237070651749,2.284,6,7,0.9449931383132936,0.9230769230769232
56,12.119592754870514,1.771,6,6,0.9997403621673584,1.0
57,5.012652021649156,1.77,9,7,0.99984472990036,0.0
58,6.094478616151969,2.152,11,13,0.5866994857788086,0.0
59,4.678475220205879,1.652,5,8,0.9922888875007628,0.15384615384615385
60,10.158408362517244,3.587,7,5,0.9536892771720886,0.16666666666666666
61,3.2737998514273587,1.156,9,11,0.426104873418808,0.2
62,10.537897272630797,3.721,5,5,0.9616374373435974,0.0
63,3.344600021224663,1.181,6,12,0.9660602807998656,0.0
64,5.358156850260002,1.892,6,5,0.9342018961906432,0.0
65,4.91353178393293,1.735,6,4,0.8418329358100891,0.0
66,13.221556609365738,1.324,9,4,0.6533370018005371,0.6153846153846154
68,3.952012501905778,1.25,4,8,0.8823629021644592,0.0
